QUESTION,CATEGORY,CORRECT ANSWER,WRONG 1,WRONG 2,WRONG 3
Soru deneme,Deneme,Dogru,Yanlis1,Yanlis2,Yanlis3
Kurtuluş Savaşı fiili olarak hangi tarihler arasında gerçekleşmiştir?,Tarih,1919-1922,1919-1921,1918-1922,1920-1922
Atatürk'ün başöğretmen sıfatını aldığı gün olan Öğretmenler Günü ülkemizde hangi tarihte kutlanmaktadır?,Tarih,24 Kasım,10 Ekim,16 Eylül,21 Aralık
Anadolu'nun kapısını Türklere açan savaş olarak da bilinen Malazgirt Savaşı hangi tarihte gerçekleşmiştir?,Tarih,1071,1058,1143,1284
Türkiye'de milletvekili seçimleri en son hangi tarihte gerçekleşmiştir?,Tarih,2023,2019,2021,2024
Dünya tarihinin dönüm noktalarından biri kabul edilen ve Yakın Çağı açan Fransız İhtilali hangi tarihte başlamıştır?,Tarih,1789,1768,1875,1819
Medeniyetlerin beşiği olarak da bilinen Mezopotamya bölgesi uygarlıklarının hangisinde ilk kütüphane kurulmuştur?,Tarih,Asur,Sümer,Elam,Babil
İslam Peygamberi Hz.Muhammed'in vefat tarihi hangi yıldır?,Tarih,632,598,617,631
Atatürk'ü Anma Gençlik ve Spor Bayramı olarak kutlanan bayramın bu yıl kaçıncısı kutlanacaktır?,Tarih,105,101,103,107
Zaman genellikle bilimin hangi alt kolu altında incelenir?,Bilim,Fizik,Kimya,Biyoloji,Elektronik
Dünya üzerinde herhangi 2 noktanın yerel saatleri aynı olabilmesi için hangi özellikleri aynı olmalıdır?,Bilim,Meridyen,Enlem,Açı,Paralel
28 çeken Şubat ayının 29 çekmesi olarak bilinen ve 4 yılda bir gerçekleşen Artık yıl bundan sonra ilk olarak hangi tarihte gerçekleşecektir?,Bilim,2028,2026,2025,2029
SI birim sistemine göre zamanın ölçü birimi nedir?,Bilim,Saniye,Saat,Dakika,Gün
Bir gün kaç dakikadan oluşur?,Bilim,1440,1680,2140,1080
Mısır medeniyeti Nil'in taşkınlarını hesaplayabilmek için hangi takvimi icat etmiştir?,Bilim,Güneş Takvimi,Hicri Takvim,Ay Takvimi,12 Hayvanlı Takvim
Albert Einstein'in çalışmalarından biri olan ve uzay-zaman arasındaki ilişkiyi ortaya koyan teorinin adı nedir?,Bilim,İzafiyet Teorisi,Büyük Patlama Teorisi,Kuantum Teorisi,Gezegensel Hareket Yasaları
Olayların tarihsel sıralamasıyla ilgilenen zaman bilimi olarak da adlandırılan bilim dalı nedir?,Bilim,Kronoloji,Antropoloji,Arkeoloji,Filoloji
Saatleri Ayarlama Enstitüsü ve Bursa'da Zaman gibi eserlerin yazarı olan ve Zaman şairi olarak da bilinen ünlü Türk edebiyatçısı kimdir?,Sanat,Ahmet Hamdi Tanpınar,Orhan Veli Kanık,Peyami Safa,Cahit Sıtkı Tarancı
Aşağıdaki filmlerden hangisi Zamanda Yolculuk konusunu işlemektedir?,Sanat,Interstellar,3 Idiots,Titanic,Truva
Eriyen Saatler ya da Belleğin Azmi olarak nitelendirilen ünlü tablo hangi sanatçıya aittir?,Sanat,Salvador Dali,Pablo Picasso,Frida Kahlo,Johannes Vermeer
Sertap Erener Everywhere That I Can şarkısıyla hangi yıl Eurovision Şarkı Yarışması'nı kazanmıştır?,Sanat,2003,2008,1996,2011
Rönesans hangi ülkede başlamıştır?,Sanat,İtalya,İspanya,Almanya,Fransa
Zamanın kısa tarihi ve Her şeyin teorisi adlı eserlerin sahibi olan geçtiğimiz yıllarda vefat eden fizikçi kimdir?,Sanat,Stephen Hawking,Albert Einstein,Nikola Tesla,Niels Bohr
Türkiye Eurovision şarkı yarışmasından hangi yılda çekilmiştir?,Sanat,2013,2010,2015,2018
Mona Lisa ve Son Akşam Yemeği gibi eserleri bulunan 16.yy Rönesans sanatçısı kimdir?,Sanat,Leonardo Da Vinci,Pablo Picasso,Vincent Van Gogh,Michelangelo
Türkiye'nin yerel saati Greenwich Ortalama Saati'nden (GMT) kaç saat ileridir?,Matematik,3 saat (GMT+3),2 saat (GMT+2),1 saat (GMT+1),Aynıdır
1 mil yaklaşık olarak kaç kilometreye eşittir?,Matematik,1.609,1.509,1.659,1.559
Bir analog saatte saat 3'te akrep ile yelkovan arasındaki açı kaç derecedir?,Matematik,90 derece,30 derece,45 derece,60 derece
Bir araba saatte 60 kilometre hızla gidiyorsa 2.5 saatte kaç kilometre yol alır?,Matematik,150 km,160 km,170 km,180 km
1 saat 45 dakika süren bir film saat 14.30'da başlarsa saat kaçta biter?,Matematik,16:15,15:45,15:15,16:45
Bir ayda 30 gün varsa bir yılda kaç ay bu şekilde 30 gündür?,Matematik,4 ay,3 ay,5 ay,6 ay
Bir baba ile oğlunun yaşları toplamı 64 yıldır. Baba oğlunun yaşının 3 katı olduğuna göre baba kaç yaşındadır?,Matematik,48,45,46,47
Saat 9.15'de saat ve dakika kolları arasındaki açı kaç derecedir?,Matematik,180,45,60,90
Modern Olimpiyat Oyunları ilk kez hangi yılda düzenlenmiştir?,Spor,1896,1892,1888,1884
Olimpiyat Oyunları kaç yılda bir düzenlenir?,Spor,4,2,3,5
Olimpiyat tarihindeki ilk kadın sporcular hangi yıl oyunlara katılmaya başladı?,Spor,1900,1934,1968,1972
2009 yılında 100 metre dünya rekorunu kıran Usain Bolt'un bu mesafedeki süresi nedir?,Spor,9.58 saniye,9.78 saniye,9.82 saniye,9.92 saniye
Türkiye Süper Ligi hangi yıl kuruldu?,Spor,1959,1958,1960,1961
FIFA Dünya Kupası tarihinde Türkiye Milli Futbol Takımı en iyi derecesini hangi yılda elde etti?,Spor,2002,1998,2004,2008
A Milli Kadın Voleybol Takımı son Dünya Kupasını hangi yıl kazanmıştır?,Spor,2023,2022,2021,2020
Dünya Atletizm Şampiyonası kaç yılda bir düzenlenir?,Spor,2,3,4,5
Makineler düşünebilir mi? sorusuyla makine öğrenmesi kavramını ortaya çıkaran ve kendine ait testi bulunan ünlü İngiliz matematikçi kimdir?,Günlük Hayat,Alan Turing,Kurt Gödel,Ada Lovelace,Marie Curie
İnsanlar arasında zamanı durduran makine olarak da bilinen icat nedir?,Günlük Hayat,Fotoğraf Makinesi,Telefon,Televizyon,İnternet
2024'ün 2. çeyreğinde ABD merkezli yapay zeka şirketi OPENAI tarafından çıkarılan yapay zeka modeli hangisidir?,Günlük Hayat,ChatGPT-4o,ChatGPT-4,ChatGPT-3.5,ChatGPT-5
Dünyada ilk vatandaşlık alan robot olan Robot Sophia'ya hangi ülke vatandaşlık vermiştir?,Günlük Hayat,Suudi Arabistan,İngiltere,Kuveyt,Japonya
Bilinen ilk dişli saati antik dünyada hangi ünlü matematikçi icat etmiştir?,Günlük Hayat,Arşimet,Öklid,Thales,
Miladi takvime göre M.Ö 28 yılında doğan biri M.S 36 yılında doğum gününde kaç yaşına basmış olur?,Günlük Hayat,63,64,65,62
Aşağıdakilerin hangisi endüstri devriminden önce kullanılan saat çeşitlerinden biri değildir?,Günlük Hayat,Kuvars saat,Güneş saati,Su saati,Kum saati
1 Milenyum kaç yıla denk gelir?,Günlük Hayat,1000,100,50,250
Oyun ve Uygulama Akademisinin son süreci olan ve bitirme projesini kapsayan Bootcamp kaç hafta sürmektedir?,AkademiBonus,7,6,5,4
Aşağıdakilerden hangisi proje ekibiyle iletişim kurmada kullanılan yaygın iletişim araçlarından biri değildir?,AkademiBonus,Twitter,Zoom,E-posta,Google Meet
Coursera'da yer alan Google Proje Yöneticiliği Profesyonel Sertifika Programı kaç modülden oluşmaktadır?,AkademiBonus,6,5,7,4
Aşağıdakilerden hangisi proje ekibinin başarısını etkileyen faktörlerden biri değildir?,AkademiBonus,Bilinirlik,Güvenilirlik,Yapı ve Netlik,Psikolojik Güvenlik
Proje hedeflerini gerçekleştirme konusunda ekibe koçluk eden ekibin işbirliğini ve verimliliğini arttıran kişi kimdir?,AkademiBonus,Scrum Master,Proje Lideri,Proje Sahibi,Proje Yöneticisi
Aşağıdakilerden hangisi toplanan verileri ölçerken kullanılan metriklerden biri değildir?,AkademiBonus,Yetersizlik metrikleri,Verimlilik metrikleri,Kalite metrikleri,Benimseme metrikleri
2024 yılı itibariyle Oyun ve Uygulama Akademisi kaçıncı mezunlarını verecektir?,AkademiBonus,3,4,5,2
Aşağıdakilerden hangisi kişilere rolleri hakkında bilgi veren ve sorumluluk matrisi olarak da bilinen RACI matrisinin ayaklarından biri değildir?,AkademiBonus,User (Kullanıcı),Accountable (Hesap veren),Responsible (İşi yapan),Informed (Bilgilendirilen)
